obligation_id,regulatory_body,obligation_name,category,frequency,risk_rating,penalty_max_aud,source_legislation,description,key_requirements
OBL-0001,AEMO,Generator Dispatch Compliance,Market,Event-driven,Critical,1000000,NER Chapter 3,"Generators must follow dispatch instructions issued by AEMO and operate within their dispatch targets","Follow dispatch instructions; Notify AEMO of constraints; Maintain ramp rates; Report deviations"
OBL-0002,AEMO,Bidding in Good Faith,Market,Daily,Critical,10000000,NER Rule 3.8.22A,"Market participants must make dispatch offers in good faith and not engage in misleading bidding","Submit bids reflecting genuine intentions; No late rebidding without material change; Document reasons for rebids"
OBL-0003,AEMO,Generator Performance Standards,Technical,Annually,High,1000000,NER Section 5.2,"Generators must meet registered performance standards for frequency, voltage, and reactive power","Meet access standards; Annual compliance testing; Report non-compliance; Maintain protection systems"
OBL-0004,AEMO,Metering Data Provision,Market,Daily,High,500000,NER Chapter 7,"Metering data providers must collect and deliver metering data within prescribed timeframes","Collect meter reads; Validate data quality; Deliver within NER timeframes; Maintain metering database"
OBL-0005,AEMO,Power System Frequency Control,Technical,Event-driven,Critical,1000000,NER Section 4.4,"Generators must contribute to frequency control ancillary services as registered","Maintain frequency response capability; Follow enablement directions; Report FCAS non-delivery"
OBL-0006,AEMO,Network Outage Planning,Market,Monthly,High,500000,NER Section 5.7A,"TNSPs and generators must coordinate planned outages through the Network Outage Scheduler","Submit outage plans; Coordinate with AEMO; Update outage schedules; Minimise market impact"
OBL-0007,AEMO,Market Notice Response,Market,Event-driven,High,500000,NER Section 4.8,"Market participants must respond to market notices and directions from AEMO within specified timeframes","Acknowledge market notices; Comply with directions; Report compliance status; Maintain communications"
OBL-0008,AEMO,Demand Forecasting,Market,Daily,Medium,250000,NER Section 3.7A,"Large customers and retailers must provide demand forecasts to AEMO","Submit load forecasts; Update for material changes; Maintain forecasting methodology; Report accuracy"
OBL-0009,AEMO,Settlement Data Verification,Financial,Monthly,High,500000,NER Chapter 3,"Participants must verify settlement data and raise disputes within prescribed periods","Review preliminary statements; Raise disputes within 5 business days; Verify final statements; Maintain records"
OBL-0010,AEMO,Registration and Classification,Market,Event-driven,Critical,1000000,NER Chapter 2,"All participants must maintain current registration details and classifications with AEMO","Register before participating; Update classification changes; Maintain contact details; Annual registration review"
OBL-0011,AER,Retail Pricing Transparency,Consumer,Quarterly,High,1000000,NERL Section 22,"Retailers must publish standing offer prices and ensure marketing materials are not misleading","Publish standing offer prices; Provide Energy Price Fact Sheets; Clear marketing; Reference offer comparison rate"
OBL-0012,AER,Customer Hardship Program,Consumer,Annually,Critical,2000000,NERL Section 44,"Retailers must maintain and implement customer hardship programs approved by the AER","Maintain approved program; Offer payment plans; Not disconnect hardship customers; Report program outcomes"
OBL-0013,AER,Life Support Equipment Registration,Consumer,Event-driven,Critical,5000000,NERL Section 122,"Retailers and distributors must register life support equipment customers and never de-energise them","Register within required timeframe; Never disconnect; Provide advance notice of outages; Maintain register"
OBL-0014,AER,Explicit Informed Consent,Consumer,Event-driven,High,1000000,NERR Rule 64,"Retailers must obtain explicit informed consent before entering or varying market contracts","Record consent; Provide all required information; Cooling-off rights; Verification procedures"
OBL-0015,AER,Billing Accuracy,Consumer,Monthly,High,2000000,NERR Rule 20,"Retailers must issue accurate bills based on actual or estimated meter reads within required timeframes","Bill within timeframes; Use actual meter data; Estimate methodology compliant; Itemise charges"
OBL-0016,AER,Disconnection Procedures,Consumer,Event-driven,Critical,5000000,NERR Rule 111,"Retailers must follow strict procedures before disconnecting a customer including notice periods","Issue warning notice; Allow payment time; Offer payment plans; Check life support; Business hours only"
OBL-0017,AER,Customer Complaint Handling,Consumer,Event-driven,High,500000,NERL Section 82,"Retailers must handle customer complaints in accordance with AS/NZS 10002:2014","Acknowledge within timeframes; Escalation procedures; External dispute resolution referral; Record complaints"
OBL-0018,AER,Network Pricing Approval,Financial,Annually,Critical,2000000,NER Chapter 6,"DNSPs must submit pricing proposals to AER and comply with approved revenue determinations","Submit annual pricing proposal; Comply with revenue cap; Cost allocation methodology; Tariff structure"
OBL-0019,AER,Ring-Fencing Compliance,Market,Annually,High,1000000,NER Rule 6.17,"DNSPs must maintain ring-fencing arrangements separating regulated and contestable services","Separate business units; Staff sharing restrictions; Information barriers; Annual compliance reporting"
OBL-0020,AER,Guaranteed Service Levels,Consumer,Quarterly,Medium,500000,NERL Section 90,"Distributors must meet guaranteed service levels and make payments when they fail","Track service metrics; Automatic GSL payments; Report performance; Identify systemic issues"
OBL-0021,AER,Retailer of Last Resort,Market,Event-driven,Critical,2000000,NERL Section 122,"Designated RoLR retailers must accept customers of failed retailers and maintain readiness","Maintain RoLR plan; Accept transferred customers; Honour existing contracts; Report to AER"
OBL-0022,AER,Demand Response Mechanism Compliance,Market,Event-driven,High,1000000,NER Chapter 3,"Demand response service providers must comply with wholesale demand response mechanism rules","Register as DRSP; Follow dispatch instructions; Verify baseline methodology; Settle correctly"
OBL-0023,CER,NGER Reporting,Environment,Annually,Critical,2200000,NGER Act Section 19,"Corporations meeting thresholds must report greenhouse gas emissions and energy consumption annually","Report Scope 1 and 2 emissions; Energy production and consumption; Report by 31 October; Maintain records"
OBL-0024,CER,Safeguard Mechanism Compliance,Environment,Annually,Critical,5500000,NGER Act Section 22X,"Facilities exceeding 100kt CO2-e must keep emissions below their baseline","Monitor emissions against baseline; Surrender ACCUs for exceedances; Apply for baseline variations; Report"
OBL-0025,CER,Renewable Energy Target Compliance,Environment,Annually,Critical,6500000,Renewable Energy Act Section 38,"Liable entities must acquire and surrender sufficient certificates to meet RET obligations","Acquire LGCs and STCs; Surrender by annual deadline; Pay shortfall charge if insufficient; Keep records"
OBL-0026,CER,Clean Energy Regulator Audit Cooperation,Environment,Event-driven,High,1100000,NGER Act Section 67,"Reporting entities must cooperate with CER audits and provide requested information","Respond to audit notices; Provide records; Facilitate site inspections; Correct identified errors"
OBL-0027,CER,Emissions Reduction Fund Reporting,Environment,Quarterly,High,1100000,CFI Act Section 76,"ERF project proponents must report on project activities and credited emissions reductions","Submit quarterly reports; Maintain project records; Report material changes; Comply with methodology"
OBL-0028,CER,Energy Efficiency Opportunities,Environment,Annually,Medium,550000,NGER Act Section 22A,"Large energy users must identify and report on energy efficiency improvement opportunities","Assess energy use; Identify opportunities; Report publicly; Maintain assessment records"
